year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-24,Northbound,Heavy Vehicles,3,3,4,,4,7,17,27,41,35,26,31,37,30,39,37,20,22,14,12,9,6,3,2,0,0
2024,2024-01-24,Northbound,Light Vehicles,23,12,13,19,33,109,184,302,466,423,374,367,339,335,372,453,500,492,314,265,188,151,81,51,0,0
2024,2024-01-24,Northbound,All Vehicles,26,15,17,19,37,116,201,329,507,458,400,398,376,365,411,490,520,514,328,277,197,157,84,53,0,0
2024,2024-01-25,Northbound,Light Vehicles,35,23,12,17,27,107,182,280,474,356,401,370,413,354,348,456,526,541,428,238,219,166,106,98,0,0
2024,2024-01-25,Northbound,Heavy Vehicles,1,,3,2,6,9,14,21,36,36,33,38,45,29,43,30,22,17,18,5,5,4,4,7,0,0
2024,2024-01-25,Northbound,All Vehicles,36,23,15,19,33,116,196,301,510,392,434,408,458,383,391,486,548,558,446,243,224,170,110,105,0,0
2024,2024-01-27,Northbound,Light Vehicles,63,40,28,18,26,54,90,158,231,285,361,347,324,334,284,267,285,282,256,193,181,162,129,90,0,0
2024,2024-01-27,Northbound,Heavy Vehicles,,1,,,1,1,4,8,9,12,14,20,12,11,14,10,9,7,9,6,6,9,1,2,0,0
2024,2024-01-27,Northbound,All Vehicles,63,41,28,18,27,55,94,166,240,297,375,367,336,345,298,277,294,289,265,199,187,171,130,92,0,0
2024,2024-01-28,Northbound,Light Vehicles,69,47,40,30,15,48,63,104,176,231,282,377,347,319,268,260,320,303,283,186,142,118,83,35,0,0
2024,2024-01-28,Northbound,Heavy Vehicles,,1,,,1,3,1,4,9,11,15,15,14,17,9,13,12,15,6,4,1,9,3,,0,0
2024,2024-01-28,Northbound,All Vehicles,69,48,40,30,16,51,64,108,185,242,297,392,361,336,277,273,332,318,289,190,143,127,86,35,0,0
2024,2024-01-29,Northbound,Light Vehicles,23,18,9,18,25,108,169,283,473,404,337,387,375,360,380,391,493,467,327,245,160,157,72,38,0,0
2024,2024-01-29,Northbound,Heavy Vehicles,1,1,4,1,6,6,12,14,24,28,23,34,21,24,21,23,20,16,15,16,3,5,2,2,0,0
2024,2024-01-29,Northbound,All Vehicles,24,19,13,19,31,114,181,297,497,432,360,421,396,384,401,414,513,483,342,261,163,162,74,40,0,0
2024,2024-01-30,Northbound,Heavy Vehicles,,2,2,,1,10,16,26,32,38,40,46,32,31,43,34,23,18,8,14,2,4,,,0,0
2024,2024-01-30,Northbound,Light Vehicles,27,13,12,20,38,114,204,280,498,416,378,336,351,351,384,433,487,488,365,249,157,137,90,49,0,0
2024,2024-01-30,Northbound,All Vehicles,27,15,14,20,39,124,220,306,530,454,418,382,383,382,427,467,510,506,373,263,159,141,90,49,0,0
2024,2024-01-31,Northbound,Light Vehicles,31,17,11,18,38,118,185,297,513,429,362,398,369,362,385,454,525,552,359,247,163,123,91,47,0,0
2024,2024-01-31,Northbound,Heavy Vehicles,2,,1,2,3,6,20,17,26,32,30,21,25,30,19,37,34,19,9,5,2,1,1,2,0,0
2024,2024-01-31,Northbound,All Vehicles,33,17,12,20,41,124,205,314,539,461,392,419,394,392,404,491,559,571,368,252,165,124,92,49,0,0
2024,2024-02-01,Northbound,Heavy Vehicles,,1,1,1,7,6,4,14,31,34,24,24,28,26,18,22,25,19,23,9,12,3,1,1,0,1
2024,2024-02-01,Northbound,Light Vehicles,21,17,11,17,32,111,189,296,542,464,395,385,357,343,377,437,510,576,405,257,227,156,91,60,0,1
2024,2024-02-01,Northbound,All Vehicles,21,18,12,18,39,117,193,310,573,498,419,409,385,369,395,459,535,595,428,266,239,159,92,61,0,1
2024,2024-02-02,Northbound,Light Vehicles,32,25,15,19,29,113,163,318,538,419,386,329,379,356,402,456,488,510,360,262,196,166,103,96,0,1
2024,2024-02-02,Northbound,Heavy Vehicles,1,1,2,2,3,9,13,21,29,28,22,20,25,29,19,29,19,24,22,9,7,6,2,2,0,1
2024,2024-02-02,Northbound,All Vehicles,33,26,17,21,32,122,176,339,567,447,408,349,404,385,421,485,507,534,382,271,203,172,105,98,0,1
2024,2024-02-03,Northbound,Light Vehicles,61,38,34,27,17,60,93,163,270,343,390,362,365,325,279,313,306,318,283,242,191,174,116,94,0,1
2024,2024-02-03,Northbound,Heavy Vehicles,2,3,,1,4,1,6,10,13,13,18,13,19,13,13,16,8,9,5,5,8,1,4,,0,1
2024,2024-02-03,Northbound,All Vehicles,63,41,34,28,21,61,99,173,283,356,408,375,384,338,292,329,314,327,288,247,199,175,120,94,0,1
2024,2024-02-04,Northbound,Light Vehicles,70,43,37,20,13,48,79,132,184,274,297,367,350,302,259,272,300,283,233,187,153,114,67,42,0,1
2024,2024-02-04,Northbound,Heavy Vehicles,2,1,,,,1,2,1,13,6,14,9,13,11,8,6,12,9,4,5,1,3,1,,0,1
2024,2024-02-04,Northbound,All Vehicles,72,44,37,20,13,49,81,133,197,280,311,376,363,313,267,278,312,292,237,192,154,117,68,42,0,1
2024,2024-02-05,Northbound,Light Vehicles,23,19,12,15,36,98,184,342,586,416,386,328,373,351,373,460,490,518,348,226,182,117,81,52,0,1
2024,2024-02-05,Northbound,Heavy Vehicles,1,2,4,,5,7,7,18,26,30,18,30,18,24,25,21,20,18,13,7,5,3,3,2,0,1
2024,2024-02-05,Northbound,All Vehicles,24,21,16,15,41,105,191,360,612,446,404,358,391,375,398,481,510,536,361,233,187,120,84,54,0,1
2024,2024-02-06,Northbound,Heavy Vehicles,2,,3,3,5,7,15,22,39,32,31,33,19,18,32,41,24,19,25,6,8,7,1,,0,0
2024,2024-02-06,Northbound,Light Vehicles,26,15,9,19,29,102,188,333,589,503,389,359,373,359,384,457,499,527,394,224,179,144,64,41,0,0
2024,2024-02-06,Northbound,All Vehicles,28,15,12,22,34,109,203,355,628,535,420,392,392,377,416,498,523,546,419,230,187,151,65,41,0,0
2024,2024-02-07,Northbound,Heavy Vehicles,,2,2,1,2,4,17,31,38,32,20,26,24,28,29,25,26,23,18,7,6,1,4,,0,0
2024,2024-02-07,Northbound,Light Vehicles,27,14,6,14,28,112,206,346,586,407,373,336,344,327,373,470,499,541,372,277,180,123,65,60,0,0
2024,2024-02-07,Northbound,All Vehicles,27,16,8,15,30,116,223,377,624,439,393,362,368,355,402,495,525,564,390,284,186,124,69,60,0,0
2024,2024-02-08,Northbound,Light Vehicles,33,16,17,22,36,101,200,325,608,386,373,354,330,342,373,538,626,628,411,278,209,170,71,53,0,0
2024,2024-02-08,Northbound,Heavy Vehicles,,,3,1,5,7,13,31,44,34,35,25,31,37,43,38,32,25,13,15,5,5,2,2,0,0
2024,2024-02-08,Northbound,All Vehicles,33,16,20,23,41,108,213,356,652,420,408,379,361,379,416,576,658,653,424,293,214,175,73,55,0,0
2024,2024-02-09,Northbound,Heavy Vehicles,3,1,3,5,6,3,16,26,43,35,26,22,24,32,27,34,29,21,18,11,6,3,4,1,0,0
