the_geom,station_id,road_name,suburb,cardinal_direction_name,classification_type,year,period,traffic_count,wgs84_latitude,wgs84_longitude
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,EAST,UNCLASSIFIED,2024,WEEKDAYS,7731,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,WEST,UNCLASSIFIED,2024,WEEKDAYS,6930,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,BOTH,UNCLASSIFIED,2024,WEEKENDS,10957,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,EAST,UNCLASSIFIED,2024,WEEKENDS,5669,-32.982449,151.668076
0101000020E6100000C367EBE060F56240747E8AE3C07D40C0,05211,Warners Bay Road,Mount Hutton,WEST,UNCLASSIFIED,2024,WEEKENDS,5288,-32.982449,151.668076
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,ALL VEHICLES,2024,ALL DAYS,19424,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,LIGHT VEHICLES,2024,ALL DAYS,17495,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,HEAVY VEHICLES,2024,ALL DAYS,1929,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,ALL VEHICLES,2024,ALL DAYS,21893,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,LIGHT VEHICLES,2024,ALL DAYS,19628,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,HEAVY VEHICLES,2024,ALL DAYS,2265,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,ALL VEHICLES,2024,ALL DAYS,41317,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,LIGHT VEHICLES,2024,ALL DAYS,37123,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,HEAVY VEHICLES,2024,ALL DAYS,4194,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,ALL VEHICLES,2024,AM PEAK,5226,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,LIGHT VEHICLES,2024,AM PEAK,4526,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,HEAVY VEHICLES,2024,AM PEAK,700,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,ALL VEHICLES,2024,AM PEAK,4545,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,LIGHT VEHICLES,2024,AM PEAK,3855,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,HEAVY VEHICLES,2024,AM PEAK,690,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,ALL VEHICLES,2024,AM PEAK,9771,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,LIGHT VEHICLES,2024,AM PEAK,8381,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,HEAVY VEHICLES,2024,AM PEAK,1390,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,ALL VEHICLES,2024,OFF PEAK,10199,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,LIGHT VEHICLES,2024,OFF PEAK,9026,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,HEAVY VEHICLES,2024,OFF PEAK,1173,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,ALL VEHICLES,2024,OFF PEAK,11080,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,LIGHT VEHICLES,2024,OFF PEAK,9681,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,HEAVY VEHICLES,2024,OFF PEAK,1399,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,ALL VEHICLES,2024,OFF PEAK,21279,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,LIGHT VEHICLES,2024,OFF PEAK,18707,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,HEAVY VEHICLES,2024,OFF PEAK,2572,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,ALL VEHICLES,2024,PM PEAK,4411,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,LIGHT VEHICLES,2024,PM PEAK,4050,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,HEAVY VEHICLES,2024,PM PEAK,361,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,ALL VEHICLES,2024,PM PEAK,6195,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,LIGHT VEHICLES,2024,PM PEAK,5685,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,HEAVY VEHICLES,2024,PM PEAK,510,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,ALL VEHICLES,2024,PM PEAK,10606,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,LIGHT VEHICLES,2024,PM PEAK,9735,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,HEAVY VEHICLES,2024,PM PEAK,871,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,ALL VEHICLES,2024,WEEKDAYS,19836,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,LIGHT VEHICLES,2024,WEEKDAYS,17602,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,HEAVY VEHICLES,2024,WEEKDAYS,2234,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,ALL VEHICLES,2024,WEEKDAYS,21820,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,LIGHT VEHICLES,2024,WEEKDAYS,19221,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,SOUTH,HEAVY VEHICLES,2024,WEEKDAYS,2599,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,ALL VEHICLES,2024,WEEKDAYS,41656,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,LIGHT VEHICLES,2024,WEEKDAYS,36823,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,BOTH,HEAVY VEHICLES,2024,WEEKDAYS,4833,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,ALL VEHICLES,2024,WEEKENDS,16669,-33.878181,150.924942
0101000020E61000004C16F71F99DD6240FA7B293C68F040C0,100001,Cambridge Street,Canley Heights,NORTH,LIGHT VEHICLES,2024,WEEKENDS,15810,-33.878181,150.924942
