year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2024,2024-01-23,Northbound,Light Vehicles,18,10,14,40,87,372,724,883,1032,667,611,610,569,553,600,665,728,773,542,335,259,173,108,49,0,0
2024,2024-01-23,Northbound,Heavy Vehicles,1,,3,5,20,55,117,104,87,87,92,74,89,79,73,95,66,57,33,22,18,12,3,4,0,0
2024,2024-01-23,Northbound,All Vehicles,19,10,17,45,107,427,841,987,1119,754,703,684,658,632,673,760,794,830,575,357,277,185,111,53,0,0
2024,2024-01-24,Northbound,Light Vehicles,22,20,21,30,87,365,742,930,971,713,622,630,653,563,625,650,732,798,577,384,312,202,105,53,0,0
2024,2024-01-24,Northbound,Heavy Vehicles,1,2,4,4,12,58,101,118,74,72,84,91,93,89,101,70,58,46,37,29,25,11,7,5,0,0
2024,2024-01-24,Northbound,All Vehicles,23,22,25,34,99,423,843,1048,1045,785,706,721,746,652,726,720,790,844,614,413,337,213,112,58,0,0
2024,2024-01-25,Northbound,Light Vehicles,23,33,18,29,96,367,639,887,890,691,647,674,600,629,612,671,682,761,597,411,333,302,139,110,0,0
2024,2024-01-25,Northbound,Heavy Vehicles,1,,3,7,11,54,108,100,84,77,90,68,77,86,77,63,74,52,35,31,23,19,13,3,0,0
2024,2024-01-25,Northbound,All Vehicles,24,33,21,36,107,421,747,987,974,768,737,742,677,715,689,734,756,813,632,442,356,321,152,113,0,0
2024,2024-01-26,Northbound,Light Vehicles,11,6,5,8,9,2,10,21,37,39,46,39,42,35,51,31,40,38,42,36,21,32,9,10,0,0
2024,2024-01-26,Northbound,Heavy Vehicles,,,,1,1,,,,2,4,4,2,5,2,,1,2,,1,1,1,2,,1,0,0
2024,2024-01-26,Northbound,All Vehicles,11,6,5,9,10,2,10,21,39,43,50,41,47,37,51,32,42,38,43,37,22,34,9,11,0,0
2024,2024-01-27,Northbound,Light Vehicles,55,31,20,24,29,104,209,433,465,554,566,672,657,532,548,504,498,533,478,372,320,275,245,170,0,0
2024,2024-01-27,Northbound,Heavy Vehicles,2,,,7,1,6,12,36,32,45,59,52,54,48,49,35,29,36,34,26,16,13,10,6,0,0
2024,2024-01-27,Northbound,All Vehicles,57,31,20,31,30,110,221,469,497,599,625,724,711,580,597,539,527,569,512,398,336,288,255,176,0,0
2024,2024-01-28,Northbound,Heavy Vehicles,5,6,3,4,2,7,19,26,27,39,44,39,38,43,34,40,30,23,19,14,19,13,6,5,0,0
2024,2024-01-28,Northbound,Light Vehicles,139,117,78,44,41,96,151,264,367,508,574,657,676,489,575,517,495,454,359,283,253,165,112,79,0,0
2024,2024-01-28,Northbound,All Vehicles,144,123,81,48,43,103,170,290,394,547,618,696,714,532,609,557,525,477,378,297,272,178,118,84,0,0
2024,2024-01-29,Northbound,Light Vehicles,50,19,26,27,79,384,658,925,973,644,567,540,599,565,561,644,666,629,456,286,245,154,78,35,0,0
2024,2024-01-29,Northbound,Heavy Vehicles,,3,3,4,9,44,94,136,96,94,83,88,86,55,68,80,74,55,34,28,14,12,2,1,0,0
2024,2024-01-29,Northbound,All Vehicles,50,22,29,31,88,428,752,1061,1069,738,650,628,685,620,629,724,740,684,490,314,259,166,80,36,0,0
2024,2024-01-30,Northbound,Light Vehicles,21,12,18,33,80,366,749,998,1027,609,576,546,568,558,587,637,721,728,587,337,311,177,80,52,0,0
2024,2024-01-30,Northbound,Heavy Vehicles,1,3,3,10,14,65,130,128,103,85,84,84,83,96,72,85,71,59,48,23,24,11,5,7,0,0
2024,2024-01-30,Northbound,All Vehicles,22,15,21,43,94,431,879,1126,1130,694,660,630,651,654,659,722,792,787,635,360,335,188,85,59,0,0
2024,2024-01-31,Northbound,Heavy Vehicles,4,2,7,5,16,60,113,137,95,91,104,85,86,78,113,89,68,45,43,16,20,14,4,1,0,0
2024,2024-01-31,Northbound,Light Vehicles,25,15,11,46,90,409,765,1065,1007,657,607,626,550,573,554,659,773,753,555,379,268,196,105,55,0,0
2024,2024-01-31,Northbound,All Vehicles,29,17,18,51,106,469,878,1202,1102,748,711,711,636,651,667,748,841,798,598,395,288,210,109,56,0,0
2024,2024-02-01,Northbound,Heavy Vehicles,2,2,1,6,15,64,121,119,100,84,93,92,90,74,85,106,77,63,62,31,25,16,12,5,0,1
2024,2024-02-01,Northbound,Light Vehicles,28,24,21,38,92,392,678,985,929,627,606,566,612,538,573,662,753,743,592,388,337,208,113,54,0,1
2024,2024-02-01,Northbound,All Vehicles,30,26,22,44,107,456,799,1104,1029,711,699,658,702,612,658,768,830,806,654,419,362,224,125,59,0,1
2024,2024-02-02,Northbound,Light Vehicles,29,18,12,31,109,371,718,925,911,698,637,119,,43,386,727,734,739,639,409,350,254,191,123,0,1
2024,2024-02-02,Northbound,Heavy Vehicles,1,,4,5,17,52,128,121,104,98,104,18,,2,56,89,56,41,42,34,24,16,5,8,0,1
2024,2024-02-02,Northbound,All Vehicles,30,18,16,36,126,423,846,1046,1015,796,741,137,,45,442,816,790,780,681,443,374,270,196,131,0,1
2024,2024-02-03,Northbound,Heavy Vehicles,3,4,2,2,6,21,33,54,40,58,55,57,50,44,41,39,39,11,26,27,19,18,10,14,0,1
2024,2024-02-03,Northbound,Light Vehicles,84,55,28,34,60,152,301,534,490,530,650,670,725,670,603,549,596,239,456,432,368,336,229,167,0,1
2024,2024-02-03,Northbound,All Vehicles,87,59,30,36,66,173,334,588,530,588,705,727,775,714,644,588,635,250,482,459,387,354,239,181,0,1
2024,2024-02-04,Northbound,Heavy Vehicles,5,2,5,2,7,10,22,24,31,35,48,40,43,27,33,37,40,22,29,19,10,17,6,,0,1
2024,2024-02-04,Northbound,Light Vehicles,117,94,90,42,44,119,195,310,363,548,570,682,643,564,522,530,517,532,361,344,267,171,97,67,0,1
2024,2024-02-04,Northbound,All Vehicles,122,96,95,44,51,129,217,334,394,583,618,722,686,591,555,567,557,554,390,363,277,188,103,67,0,1
