date,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_heavy,public_holiday,school_holiday,temp_c,wind_speed_ms,wind_dir_deg,rain_mm,weather_source_type,no2_pphm,matched_aq_site,aq_distance_km,has_no2_coverage,day_of_week,is_weekend,month,season_Autumn,season_Spring,season_Summer,season_Winter,road_Highway,road_Local Street,road_Major Road,heavy_pct,is_rainy,log_no2_pphm,traffic_volume_total_lag1,no2_pphm_lag1,traffic_volume_total_roll7,has_wind_data,stn_100001,stn_10011,stn_6109,stn_6119-PR,stn_6124,stn_6135-PR,stn_6178-PR,stn_7211,stn_7212,stn_7216,stn_MUB001
2024-01-30,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,42515.0,4769.0,0,0,24.916666666666668,1.6375,136.39583333333334,0.0,metro_hourly,0.15,LIVERPOOL,4.8,True,1,0,1,0,0,1,0,0,1,0,11.217217452663766,0,0.1397619423751587,40793.0,0.3869565217391305,36613.57142857143,1,1,0,0,0,0,0,0,0,0,0,0
2024-01-31,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,42979.0,4931.0,0,0,23.4625,1.4291666666666665,153.15,0.2,metro_hourly,0.0722222222222222,LIVERPOOL,4.8,True,2,0,1,0,0,1,0,0,1,0,11.473044975453128,0,0.06973333801467516,42515.0,0.15,36662.57142857143,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-01,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,43468.0,4930.0,0,1,24.90833333333333,1.808333333333333,177.4,0.0,metro_hourly,0.5363636363636364,LIVERPOOL,4.8,True,3,0,2,0,0,1,0,0,1,0,11.341676635686023,0,0.42941834913065724,42979.0,0.0722222222222222,36714.71428571428,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-02,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,45309.0,4753.0,0,1,25.2625,2.6125000000000003,151.2875,0.0,metro_hourly,0.3545454545454545,LIVERPOOL,4.8,True,4,0,2,0,0,1,0,0,1,0,10.49018958705776,0,0.3034659401530429,43468.0,0.5363636363636364,36456.142857142855,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-03,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,40634.0,2294.0,0,1,24.379166666666663,2.5708333333333333,56.4625,0.0,metro_hourly,0.1434782608695652,LIVERPOOL,4.8,True,5,1,2,0,0,1,0,0,1,0,5.645518531279224,0,0.13407472325456915,45309.0,0.3545454545454545,40524.71428571428,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-04,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,32714.0,1376.0,0,1,27.45833333333333,1.6333333333333335,136.82916666666668,0.0,metro_hourly,0.6,LIVERPOOL,4.8,True,6,1,2,0,0,1,0,0,1,0,4.206150272054778,0,0.4700036292457356,40634.0,0.1434782608695652,41219.0,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-05,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,41954.0,4510.0,0,1,28.558333333333334,1.7625,142.34583333333333,0.0,metro_hourly,0.8045454545454546,LIVERPOOL,4.8,True,0,0,2,0,0,1,0,0,1,0,10.749868904037756,0,0.5903087343348289,32714.0,0.6,41201.71428571428,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-06,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,42457.0,4762.0,0,0,22.28333333333333,1.8125,186.9625,33.800000000000004,metro_hourly,0.25,LIVERPOOL,4.8,True,1,0,2,0,0,1,0,0,1,0,11.216053889817934,1,0.22314355131420976,41954.0,0.8045454545454546,41367.57142857143,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-07,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,44765.0,5017.0,0,0,20.8625,1.8958333333333333,184.59166666666667,0.0,metro_hourly,0.338095238095238,LIVERPOOL,4.8,True,2,0,2,0,0,1,0,0,1,0,11.207416508432926,0,0.291247138616277,42457.0,0.25,41359.28571428572,1,1,0,0,0,0,0,0,0,0,0,0
2024-02-08,100001,100001 - Cambridge Street,-33.878181,150.924942,Canley Heights,Fairfield,45393.0,5122.0,0,0,21.066666666666663,2.0,177.7875,0.0,metro_hourly,0.5347826086956522,LIVERPOOL,4.8,True,3,0,2,0,0,1,0,0,1,0,11.2836781001476,0,0.4283887480101014,44765.0,0.338095238095238,41614.42857142857,1,1,0,0,0,0,0,0,0,0,0,0
