date,hour_ending,station_id,station_name,station_lat,station_lon,station_suburb,station_lga,traffic_volume_total,traffic_volume_light,traffic_volume_heavy,public_holiday,school_holiday,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,rain_mm,no2_pphm,co_ppm,ozone_pphm,matched_aq_site,aq_distance_km,has_no2_coverage
2024-01-05,2,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,198.0,48.0,150.0,0,0,16.5,87.7,3.3,99.7,0.0,,,,GOULBURN,78.1,True
2024-01-05,3,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,180.0,29.0,151.0,0,0,16.0,89.3,2.9,104.6,0.0,0.0,,1.5,GOULBURN,78.1,True
2024-01-05,4,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,160.0,29.0,131.0,0,0,15.7,86.4,3.2,106.2,0.0,0.0,,1.6,GOULBURN,78.1,True
2024-01-05,5,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,161.0,57.0,104.0,0,0,15.3,87.3,2.9,108.2,0.0,0.1,,1.5,GOULBURN,78.1,True
2024-01-05,6,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,223.0,93.0,130.0,0,0,14.8,91.5,2.3,98.7,0.0,0.1,,1.5,GOULBURN,78.1,True
2024-01-05,7,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,339.0,204.0,135.0,0,0,14.6,93.7,2.7,82.6,0.4,0.2,,1.3,GOULBURN,78.1,True
2024-01-05,8,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,550.0,398.0,152.0,0,0,15.5,87.8,2.9,84.0,0.0,0.1,,1.5,GOULBURN,78.1,True
2024-01-05,9,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,847.0,663.0,184.0,0,0,15.5,87.0,3.0,78.9,0.0,0.1,,1.5,GOULBURN,78.1,True
2024-01-05,10,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1053.0,828.0,225.0,0,0,16.4,81.9,3.3,86.3,0.0,0.1,,1.6,GOULBURN,78.1,True
2024-01-05,11,6135-PR,6135-PR - M31 Hume Highway,-34.791008,148.86348,Bowning,Yass Valley,1292.0,1042.0,250.0,0,0,17.1,77.2,3.3,91.9,0.0,0.1,,1.6,GOULBURN,78.1,True
