Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066212,2025,05,14,24.3,1,N
IDCJAC0010,066212,2025,05,15,19.9,1,N
IDCJAC0010,066212,2025,05,16,21.7,1,N
IDCJAC0010,066212,2025,05,17,22.4,1,N
IDCJAC0010,066212,2025,05,18,16.5,1,N
IDCJAC0010,066212,2025,05,19,17.9,1,N
IDCJAC0010,066212,2025,05,20,20.6,1,N
IDCJAC0010,066212,2025,05,21,19.0,1,N
IDCJAC0010,066212,2025,05,22,19.4,1,N
IDCJAC0010,066212,2025,05,23,22.0,1,N
IDCJAC0010,066212,2025,05,24,22.0,1,N
IDCJAC0010,066212,2025,05,25,19.8,1,N
IDCJAC0010,066212,2025,05,26,18.8,1,N
IDCJAC0010,066212,2025,05,27,19.0,1,N
IDCJAC0010,066212,2025,05,28,20.1,1,N
IDCJAC0010,066212,2025,05,29,17.9,1,N
IDCJAC0010,066212,2025,05,30,21.5,1,N
IDCJAC0010,066212,2025,05,31,21.2,1,N
IDCJAC0010,066212,2025,06,01,21.4,1,N
IDCJAC0010,066212,2025,06,02,17.8,1,N
IDCJAC0010,066212,2025,06,03,19.1,1,N
IDCJAC0010,066212,2025,06,04,15.1,1,N
IDCJAC0010,066212,2025,06,05,18.6,1,N
IDCJAC0010,066212,2025,06,06,17.6,1,N
IDCJAC0010,066212,2025,06,07,20.8,1,N
IDCJAC0010,066212,2025,06,08,17.2,1,N
IDCJAC0010,066212,2025,06,09,16.1,1,N
IDCJAC0010,066212,2025,06,10,18.5,1,N
IDCJAC0010,066212,2025,06,11,17.6,1,N
IDCJAC0010,066212,2025,06,12,16.7,1,N
IDCJAC0010,066212,2025,06,13,16.4,1,N
IDCJAC0010,066212,2025,06,14,18.0,1,N
IDCJAC0010,066212,2025,06,15,19.7,1,N
IDCJAC0010,066212,2025,06,16,17.0,1,N
IDCJAC0010,066212,2025,06,17,19.3,1,N
IDCJAC0010,066212,2025,06,18,17.9,1,N
IDCJAC0010,066212,2025,06,19,18.5,1,N
IDCJAC0010,066212,2025,06,20,18.7,1,N
IDCJAC0010,066212,2025,06,21,19.2,1,N
IDCJAC0010,066212,2025,06,22,20.1,1,N
IDCJAC0010,066212,2025,06,23,22.9,1,Y
IDCJAC0010,066212,2025,06,24,21.7,1,N
IDCJAC0010,066212,2025,06,25,17.6,1,N
IDCJAC0010,066212,2025,06,26,15.7,1,N
IDCJAC0010,066212,2025,06,27,15.8,1,N
IDCJAC0010,066212,2025,06,28,18.2,1,N
IDCJAC0010,066212,2025,06,29,19.6,1,N
IDCJAC0010,066212,2025,06,30,18.0,1,N
IDCJAC0010,066212,2025,07,01,15.4,1,Y
IDCJAC0010,066212,2025,07,02,18.3,1,Y
IDCJAC0010,066212,2025,07,03,18.8,1,Y
IDCJAC0010,066212,2025,07,04,19.7,1,Y
IDCJAC0010,066212,2025,07,05,18.3,1,Y
IDCJAC0010,066212,2025,07,06,22.0,1,Y
IDCJAC0010,066212,2025,07,07,18.0,1,Y
IDCJAC0010,066212,2025,07,08,16.7,1,Y
IDCJAC0010,066212,2025,07,09,20.9,1,Y
IDCJAC0010,066212,2025,07,10,17.2,1,Y
IDCJAC0010,066212,2025,07,11,18.6,1,Y
IDCJAC0010,066212,2025,07,12,20.4,1,Y
IDCJAC0010,066212,2025,07,13,18.5,1,Y
IDCJAC0010,066212,2025,07,14,19.3,1,Y
IDCJAC0010,066212,2025,07,15,15.0,1,Y
IDCJAC0010,066212,2025,07,16,18.3,1,Y
IDCJAC0010,066212,2025,07,17,17.8,1,Y
IDCJAC0010,066212,2025,07,18,16.2,1,Y
IDCJAC0010,066212,2025,07,19,19.5,1,Y
IDCJAC0010,066212,2025,07,20,19.2,1,Y
IDCJAC0010,066212,2025,07,21,19.4,1,Y
IDCJAC0010,066212,2025,07,22,19.8,1,Y
IDCJAC0010,066212,2025,07,23,19.7,1,Y
IDCJAC0010,066212,2025,07,24,17.9,1,Y
IDCJAC0010,066212,2025,07,25,18.4,1,Y
IDCJAC0010,066212,2025,07,26,19.2,1,Y
IDCJAC0010,066212,2025,07,27,19.2,1,Y
IDCJAC0010,066212,2025,07,28,19.2,1,Y
IDCJAC0010,066212,2025,07,29,17.2,1,Y
IDCJAC0010,066212,2025,07,30,12.1,1,Y
IDCJAC0010,066212,2025,07,31,15.2,1,Y
IDCJAC0010,066212,2025,08,01,14.4,1,Y
IDCJAC0010,066212,2025,08,02,16.5,1,Y
IDCJAC0010,066212,2025,08,03,17.2,1,Y
IDCJAC0010,066212,2025,08,04,20.1,1,Y
IDCJAC0010,066212,2025,08,05,22.6,1,Y
IDCJAC0010,066212,2025,08,06,19.2,1,Y
IDCJAC0010,066212,2025,08,07,16.9,1,Y
IDCJAC0010,066212,2025,08,08,17.4,1,Y
IDCJAC0010,066212,2025,08,09,17.7,1,Y
IDCJAC0010,066212,2025,08,10,16.2,1,Y
IDCJAC0010,066212,2025,08,11,16.7,1,Y
IDCJAC0010,066212,2025,08,12,18.7,1,Y
IDCJAC0010,066212,2025,08,13,20.5,1,Y
IDCJAC0010,066212,2025,08,14,14.3,1,Y
IDCJAC0010,066212,2025,08,15,20.7,1,Y
IDCJAC0010,066212,2025,08,16,20.0,1,Y
IDCJAC0010,066212,2025,08,17,17.1,1,Y
IDCJAC0010,066212,2025,08,18,15.1,1,Y
IDCJAC0010,066212,2025,08,19,16.2,1,Y
IDCJAC0010,066212,2025,08,20,14.0,1,Y
IDCJAC0010,066212,2025,08,21,15.9,1,Y
IDCJAC0010,066212,2025,08,22,16.9,1,Y
IDCJAC0010,066212,2025,08,23,20.7,1,Y
