Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066124,2024,07,12,17.5,1,Y
IDCJAC0010,066124,2024,07,13,16.5,1,Y
IDCJAC0010,066124,2024,07,14,16.6,1,Y
IDCJAC0010,066124,2024,07,15,15.5,1,Y
IDCJAC0010,066124,2024,07,16,15.2,1,Y
IDCJAC0010,066124,2024,07,17,18.0,1,Y
IDCJAC0010,066124,2024,07,18,17.4,1,Y
IDCJAC0010,066124,2024,07,19,15.2,1,Y
IDCJAC0010,066124,2024,07,20,16.2,1,Y
IDCJAC0010,066124,2024,07,21,17.5,1,Y
IDCJAC0010,066124,2024,07,22,18.6,1,Y
IDCJAC0010,066124,2024,07,23,20.0,1,Y
IDCJAC0010,066124,2024,07,24,19.4,1,Y
IDCJAC0010,066124,2024,07,25,21.7,1,Y
IDCJAC0010,066124,2024,07,26,20.2,1,Y
IDCJAC0010,066124,2024,07,27,15.8,1,Y
IDCJAC0010,066124,2024,07,28,14.6,1,Y
IDCJAC0010,066124,2024,07,29,15.2,1,Y
IDCJAC0010,066124,2024,07,30,15.8,1,Y
IDCJAC0010,066124,2024,07,31,16.2,1,Y
IDCJAC0010,066124,2024,08,01,15.3,1,Y
IDCJAC0010,066124,2024,08,02,16.4,1,Y
IDCJAC0010,066124,2024,08,03,20.8,1,Y
IDCJAC0010,066124,2024,08,04,15.5,1,Y
IDCJAC0010,066124,2024,08,05,15.4,1,Y
IDCJAC0010,066124,2024,08,06,18.5,1,Y
IDCJAC0010,066124,2024,08,07,18.8,1,Y
IDCJAC0010,066124,2024,08,08,19.0,1,Y
IDCJAC0010,066124,2024,08,09,21.4,1,Y
IDCJAC0010,066124,2024,08,10,19.0,1,Y
IDCJAC0010,066124,2024,08,11,19.2,1,Y
IDCJAC0010,066124,2024,08,12,15.8,1,Y
IDCJAC0010,066124,2024,08,13,19.0,1,Y
IDCJAC0010,066124,2024,08,14,17.8,1,Y
IDCJAC0010,066124,2024,08,15,18.2,1,Y
IDCJAC0010,066124,2024,08,16,22.2,1,Y
IDCJAC0010,066124,2024,08,17,20.4,1,Y
IDCJAC0010,066124,2024,08,18,17.2,1,Y
IDCJAC0010,066124,2024,08,19,18.4,1,Y
IDCJAC0010,066124,2024,08,20,22.5,1,Y
IDCJAC0010,066124,2024,08,21,26.2,1,Y
IDCJAC0010,066124,2024,08,22,22.7,1,Y
IDCJAC0010,066124,2024,08,23,22.2,1,Y
IDCJAC0010,066124,2024,08,24,27.0,1,Y
IDCJAC0010,066124,2024,08,25,22.5,1,Y
IDCJAC0010,066124,2024,08,26,24.5,1,Y
IDCJAC0010,066124,2024,08,27,26.0,1,Y
IDCJAC0010,066124,2024,08,28,28.2,1,Y
IDCJAC0010,066124,2024,08,29,24.6,1,Y
