Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,066137,2025,05,19,41.8,1,Y
IDCJAC0009,066137,2025,05,20,1.2,1,Y
IDCJAC0009,066137,2025,05,21,2.0,1,Y
IDCJAC0009,066137,2025,05,22,13.8,1,Y
IDCJAC0009,066137,2025,05,23,99.0,1,Y
IDCJAC0009,066137,2025,05,24,2.4,1,Y
IDCJAC0009,066137,2025,05,25,0.0,1,Y
IDCJAC0009,066137,2025,05,26,0.0,1,Y
IDCJAC0009,066137,2025,05,27,4.4,1,Y
IDCJAC0009,066137,2025,05,28,0.0,1,Y
IDCJAC0009,066137,2025,05,29,0.0,1,Y
IDCJAC0009,066137,2025,05,30,0.0,1,Y
IDCJAC0009,066137,2025,05,31,0.0,1,Y
IDCJAC0009,066137,2025,06,01,0.0,1,N
IDCJAC0009,066137,2025,06,02,0.2,1,N
IDCJAC0009,066137,2025,06,03,0.0,1,N
IDCJAC0009,066137,2025,06,04,0.8,1,N
IDCJAC0009,066137,2025,06,05,0.6,1,N
IDCJAC0009,066137,2025,06,06,0.2,1,N
IDCJAC0009,066137,2025,06,07,0.0,1,N
IDCJAC0009,066137,2025,06,08,0.0,1,N
IDCJAC0009,066137,2025,06,09,0.0,1,N
IDCJAC0009,066137,2025,06,10,1.6,1,N
IDCJAC0009,066137,2025,06,11,0.0,1,N
IDCJAC0009,066137,2025,06,12,0.0,1,N
IDCJAC0009,066137,2025,06,13,0.0,1,N
IDCJAC0009,066137,2025,06,14,0.0,1,N
IDCJAC0009,066137,2025,06,15,0.2,1,N
IDCJAC0009,066137,2025,06,16,0.6,1,N
IDCJAC0009,066137,2025,06,17,0.2,1,N
IDCJAC0009,066137,2025,06,18,0.0,1,N
IDCJAC0009,066137,2025,06,19,0.0,1,N
IDCJAC0009,066137,2025,06,20,0.0,1,N
IDCJAC0009,066137,2025,06,21,0.0,1,N
IDCJAC0009,066137,2025,06,22,0.2,1,N
IDCJAC0009,066137,2025,06,23,0.0,1,N
IDCJAC0009,066137,2025,06,24,0.0,1,N
IDCJAC0009,066137,2025,06,25,2.6,1,N
IDCJAC0009,066137,2025,06,26,0.0,1,N
IDCJAC0009,066137,2025,06,27,0.0,1,N
IDCJAC0009,066137,2025,06,28,0.0,1,Y
IDCJAC0009,066137,2025,06,29,0.0,1,N
IDCJAC0009,066137,2025,06,30,0.0,1,N
IDCJAC0009,066137,2025,07,01,10.6,1,N
IDCJAC0009,066137,2025,07,02,50.2,1,N
IDCJAC0009,066137,2025,07,03,1.0,1,N
IDCJAC0009,066137,2025,07,04,0.2,1,N
IDCJAC0009,066137,2025,07,05,0.0,1,N
IDCJAC0009,066137,2025,07,06,0.0,1,N
IDCJAC0009,066137,2025,07,07,5.6,1,N
IDCJAC0009,066137,2025,07,08,0.2,1,N
IDCJAC0009,066137,2025,07,09,0.0,1,N
IDCJAC0009,066137,2025,07,10,0.0,1,N
IDCJAC0009,066137,2025,07,11,0.0,1,N
IDCJAC0009,066137,2025,07,12,0.0,1,N
IDCJAC0009,066137,2025,07,13,0.0,1,N
IDCJAC0009,066137,2025,07,14,0.0,1,N
IDCJAC0009,066137,2025,07,15,0.0,1,N
IDCJAC0009,066137,2025,07,16,0.0,1,N
IDCJAC0009,066137,2025,07,17,0.0,1,N
IDCJAC0009,066137,2025,07,18,0.0,1,N
IDCJAC0009,066137,2025,07,19,0.4,1,N
IDCJAC0009,066137,2025,07,20,0.0,1,N
IDCJAC0009,066137,2025,07,21,0.6,1,N
IDCJAC0009,066137,2025,07,22,0.2,1,N
IDCJAC0009,066137,2025,07,23,2.0,1,N
IDCJAC0009,066137,2025,07,24,0.0,1,N
IDCJAC0009,066137,2025,07,25,0.0,1,N
IDCJAC0009,066137,2025,07,26,2.4,1,N
IDCJAC0009,066137,2025,07,27,0.0,1,N
IDCJAC0009,066137,2025,07,28,0.0,1,N
IDCJAC0009,066137,2025,07,29,0.0,1,N
IDCJAC0009,066137,2025,07,30,0.6,1,N
IDCJAC0009,066137,2025,07,31,17.0,1,N
IDCJAC0009,066137,2025,08,01,0.8,1,N
IDCJAC0009,066137,2025,08,02,26.4,1,N
IDCJAC0009,066137,2025,08,03,30.6,1,N
IDCJAC0009,066137,2025,08,04,12.8,1,N
IDCJAC0009,066137,2025,08,05,2.6,1,N
IDCJAC0009,066137,2025,08,06,0.0,1,N
IDCJAC0009,066137,2025,08,07,0.2,1,N
IDCJAC0009,066137,2025,08,08,0.0,1,N
IDCJAC0009,066137,2025,08,09,16.8,1,N
IDCJAC0009,066137,2025,08,10,12.4,1,N
IDCJAC0009,066137,2025,08,11,1.6,1,N
IDCJAC0009,066137,2025,08,12,0.2,1,N
IDCJAC0009,066137,2025,08,13,0.0,1,N
IDCJAC0009,066137,2025,08,14,4.6,1,N
IDCJAC0009,066137,2025,08,15,9.2,1,N
IDCJAC0009,066137,2025,08,16,0.2,1,N
IDCJAC0009,066137,2025,08,17,0.4,1,N
IDCJAC0009,066137,2025,08,18,0.0,1,N
IDCJAC0009,066137,2025,08,19,24.2,1,N
IDCJAC0009,066137,2025,08,20,19.0,1,N
IDCJAC0009,066137,2025,08,21,44.4,1,N
IDCJAC0009,066137,2025,08,22,32.8,1,N
IDCJAC0009,066137,2025,08,23,2.8,1,N
IDCJAC0009,066137,2025,08,24,0.2,1,N
IDCJAC0009,066137,2025,08,25,0.0,1,N
IDCJAC0009,066137,2025,08,26,0.0,1,N
IDCJAC0009,066137,2025,08,27,0.0,1,Y
IDCJAC0009,066137,2025,08,28,0.0,1,N
IDCJAC0009,066137,2025,08,29,0.0,1,N
IDCJAC0009,066137,2025,08,30,0.2,1,N
IDCJAC0009,066137,2025,08,31,0.2,1,N
IDCJAC0009,066137,2025,09,01,0.0,1,N
IDCJAC0009,066137,2025,09,02,0.0,1,N
IDCJAC0009,066137,2025,09,03,0.0,1,N
IDCJAC0009,066137,2025,09,04,0.2,1,N
IDCJAC0009,066137,2025,09,05,0.0,1,N
IDCJAC0009,066137,2025,09,06,0.0,1,N
IDCJAC0009,066137,2025,09,07,0.0,1,N
IDCJAC0009,066137,2025,09,08,0.0,1,N
IDCJAC0009,066137,2025,09,09,2.0,1,N
IDCJAC0009,066137,2025,09,10,5.6,1,N
IDCJAC0009,066137,2025,09,11,51.6,1,N
IDCJAC0009,066137,2025,09,12,0.8,1,N
IDCJAC0009,066137,2025,09,13,0.2,1,N
IDCJAC0009,066137,2025,09,14,0.0,1,N
IDCJAC0009,066137,2025,09,15,0.2,1,N
IDCJAC0009,066137,2025,09,16,0.0,1,N
IDCJAC0009,066137,2025,09,17,0.0,1,N
IDCJAC0009,066137,2025,09,18,0.0,1,N
IDCJAC0009,066137,2025,09,19,0.0,1,N
IDCJAC0009,066137,2025,09,20,2.8,1,N
IDCJAC0009,066137,2025,09,21,0.0,1,N
IDCJAC0009,066137,2025,09,22,0.0,1,N
IDCJAC0009,066137,2025,09,23,0.8,1,N
IDCJAC0009,066137,2025,09,24,0.0,1,N
IDCJAC0009,066137,2025,09,25,0.0,1,N
IDCJAC0009,066137,2025,09,26,0.0,1,N
IDCJAC0009,066137,2025,09,27,0.0,1,N
IDCJAC0009,066137,2025,09,28,0.0,1,N
IDCJAC0009,066137,2025,09,29,0.0,1,N
IDCJAC0009,066137,2025,09,30,0.2,1,N
IDCJAC0009,066137,2025,10,01,0.0,1,Y
IDCJAC0009,066137,2025,10,02,0.0,1,Y
IDCJAC0009,066137,2025,10,03,0.0,1,Y
IDCJAC0009,066137,2025,10,04,0.0,1,Y
IDCJAC0009,066137,2025,10,05,0.0,1,Y
IDCJAC0009,066137,2025,10,06,0.0,1,Y
IDCJAC0009,066137,2025,10,07,0.4,1,Y
IDCJAC0009,066137,2025,10,08,0.0,1,Y
IDCJAC0009,066137,2025,10,09,0.0,1,Y
IDCJAC0009,066137,2025,10,10,0.0,1,Y
IDCJAC0009,066137,2025,10,11,0.0,1,Y
IDCJAC0009,066137,2025,10,12,0.0,1,Y
IDCJAC0009,066137,2025,10,13,0.2,1,Y
IDCJAC0009,066137,2025,10,14,0.2,1,Y
IDCJAC0009,066137,2025,10,15,0.0,1,Y
IDCJAC0009,066137,2025,10,16,0.0,1,Y
IDCJAC0009,066137,2025,10,17,0.0,1,Y
IDCJAC0009,066137,2025,10,18,0.8,1,Y
IDCJAC0009,066137,2025,10,19,0.0,1,Y
IDCJAC0009,066137,2025,10,20,0.0,1,Y
IDCJAC0009,066137,2025,10,21,0.0,1,Y
IDCJAC0009,066137,2025,10,22,0.0,1,Y
IDCJAC0009,066137,2025,10,23,0.0,1,Y
IDCJAC0009,066137,2025,10,24,0.0,1,Y
IDCJAC0009,066137,2025,10,25,0.0,1,Y
IDCJAC0009,066137,2025,10,26,0.0,1,Y
IDCJAC0009,066137,2025,10,27,0.0,1,Y
IDCJAC0009,066137,2025,10,28,0.0,1,Y
IDCJAC0009,066137,2025,10,29,0.6,1,Y
IDCJAC0009,066137,2025,10,30,14.0,1,Y
IDCJAC0009,066137,2025,10,31,0.0,1,Y
IDCJAC0009,066137,2025,11,01,15.2,1,N
IDCJAC0009,066137,2025,11,02,1.2,1,N
IDCJAC0009,066137,2025,11,03,0.0,1,N
IDCJAC0009,066137,2025,11,04,3.6,1,N
IDCJAC0009,066137,2025,11,05,0.0,1,N
IDCJAC0009,066137,2025,11,06,0.0,1,N
IDCJAC0009,066137,2025,11,07,0.0,1,N
IDCJAC0009,066137,2025,11,08,0.0,1,N
IDCJAC0009,066137,2025,11,09,0.0,1,N
IDCJAC0009,066137,2025,11,10,0.0,1,N
IDCJAC0009,066137,2025,11,11,0.0,1,N
IDCJAC0009,066137,2025,11,12,0.0,1,N
IDCJAC0009,066137,2025,11,13,0.0,1,N
IDCJAC0009,066137,2025,11,14,0.0,1,N
IDCJAC0009,066137,2025,11,15,0.0,1,N
IDCJAC0009,066137,2025,11,16,7.2,1,N
IDCJAC0009,066137,2025,11,17,0.0,1,N
IDCJAC0009,066137,2025,11,18,0.0,1,N
IDCJAC0009,066137,2025,11,19,0.0,1,N
IDCJAC0009,066137,2025,11,20,0.0,1,N
IDCJAC0009,066137,2025,11,21,0.0,1,N
IDCJAC0009,066137,2025,11,22,0.2,1,N
IDCJAC0009,066137,2025,11,23,9.4,1,N
IDCJAC0009,066137,2025,11,24,0.0,1,N
IDCJAC0009,066137,2025,11,25,0.0,1,N
IDCJAC0009,066137,2025,11,26,0.0,1,N
IDCJAC0009,066137,2025,11,27,0.0,1,N
IDCJAC0009,066137,2025,11,28,0.0,1,N
IDCJAC0009,066137,2025,11,29,0.0,1,N
IDCJAC0009,066137,2025,11,30,0.0,1,N
IDCJAC0009,066137,2025,12,01,0.0,1,N
