Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066137,2025,07,13,17.0,1,N
IDCJAC0010,066137,2025,07,14,19.0,1,N
IDCJAC0010,066137,2025,07,15,14.4,1,N
IDCJAC0010,066137,2025,07,16,18.1,1,N
IDCJAC0010,066137,2025,07,17,17.2,1,N
IDCJAC0010,066137,2025,07,18,16.5,1,N
IDCJAC0010,066137,2025,07,19,19.0,1,N
IDCJAC0010,066137,2025,07,20,19.0,1,N
IDCJAC0010,066137,2025,07,21,19.4,1,N
IDCJAC0010,066137,2025,07,22,19.0,1,N
IDCJAC0010,066137,2025,07,23,19.7,1,N
IDCJAC0010,066137,2025,07,24,17.4,1,N
IDCJAC0010,066137,2025,07,25,18.2,1,N
IDCJAC0010,066137,2025,07,26,19.8,1,N
IDCJAC0010,066137,2025,07,27,19.5,1,N
IDCJAC0010,066137,2025,07,28,19.8,1,N
IDCJAC0010,066137,2025,07,29,16.9,1,N
IDCJAC0010,066137,2025,07,30,11.2,1,N
IDCJAC0010,066137,2025,07,31,15.5,1,N
IDCJAC0010,066137,2025,08,01,16.1,1,N
IDCJAC0010,066137,2025,08,02,16.7,1,N
IDCJAC0010,066137,2025,08,03,17.4,1,N
IDCJAC0010,066137,2025,08,04,19.3,1,N
IDCJAC0010,066137,2025,08,05,22.5,1,N
IDCJAC0010,066137,2025,08,06,19.2,1,N
IDCJAC0010,066137,2025,08,07,16.9,1,N
IDCJAC0010,066137,2025,08,08,17.7,1,N
IDCJAC0010,066137,2025,08,09,16.8,1,N
IDCJAC0010,066137,2025,08,10,16.6,1,N
IDCJAC0010,066137,2025,08,11,16.4,1,N
IDCJAC0010,066137,2025,08,12,18.7,1,N
IDCJAC0010,066137,2025,08,13,19.8,1,N
IDCJAC0010,066137,2025,08,14,16.1,1,N
IDCJAC0010,066137,2025,08,15,19.5,1,N
IDCJAC0010,066137,2025,08,16,18.5,1,N
IDCJAC0010,066137,2025,08,17,16.7,1,N
IDCJAC0010,066137,2025,08,18,14.8,1,N
IDCJAC0010,066137,2025,08,19,16.7,1,N
IDCJAC0010,066137,2025,08,20,14.6,1,N
IDCJAC0010,066137,2025,08,21,15.6,1,N
IDCJAC0010,066137,2025,08,22,17.1,1,N
IDCJAC0010,066137,2025,08,23,20.8,1,N
IDCJAC0010,066137,2025,08,24,18.5,1,N
IDCJAC0010,066137,2025,08,25,22.7,1,N
IDCJAC0010,066137,2025,08,26,25.5,1,Y
IDCJAC0010,066137,2025,08,27,21.3,1,N
IDCJAC0010,066137,2025,08,28,19.8,1,N
IDCJAC0010,066137,2025,08,29,21.1,1,N
IDCJAC0010,066137,2025,08,30,17.9,1,N
IDCJAC0010,066137,2025,08,31,21.3,1,N
IDCJAC0010,066137,2025,09,01,20.5,1,Y
IDCJAC0010,066137,2025,09,02,20.9,1,Y
IDCJAC0010,066137,2025,09,03,22.5,1,Y
IDCJAC0010,066137,2025,09,04,24.6,1,Y
IDCJAC0010,066137,2025,09,05,19.5,1,Y
IDCJAC0010,066137,2025,09,06,21.5,1,Y
IDCJAC0010,066137,2025,09,07,26.6,1,Y
IDCJAC0010,066137,2025,09,08,29.5,1,Y
IDCJAC0010,066137,2025,09,09,26.5,1,Y
IDCJAC0010,066137,2025,09,10,18.3,1,Y
IDCJAC0010,066137,2025,09,11,18.0,1,Y
IDCJAC0010,066137,2025,09,12,20.6,1,Y
IDCJAC0010,066137,2025,09,13,22.3,1,Y
IDCJAC0010,066137,2025,09,14,24.8,1,Y
IDCJAC0010,066137,2025,09,15,27.8,1,Y
IDCJAC0010,066137,2025,09,16,28.3,1,Y
IDCJAC0010,066137,2025,09,17,26.3,1,Y
